=====Started FindAllFeaturesByPhi at 4/19/2021 6:14:41 PM
Feature 039 	 R = 0.009878, MaxR = 
Feature 046 	 R = 0.018997, MaxR = 
Feature 041 	 R = 0.009878, MaxR = 
Feature 043 	 R = 0.010638, MaxR = 
Feature 047 	 R = 0.017477, MaxR = 
Feature 055 	 R = 0.015957, MaxR = 
Feature 057 	 R = 0.012158, MaxR = 
Feature 053 	 R = 0.012158, MaxR = 
Feature 049 	 R = 0.018237, MaxR = 
Feature 051 	 R = 0.014438, MaxR = 
Feature 048 	 R = 0.016717, MaxR = 
Feature 056 	 R = 0.011398, MaxR = 
Feature 058 	 R = 0.009119, MaxR = 
Feature 050 	 R = 0.016717, MaxR = 
Feature 052 	 R = 0.015198, MaxR = 
Feature 054 	 R = 0.017477, MaxR = 
Feature 059 	 R = 0.011398, MaxR = 
Feature 065 	 R = 0.056991, MaxR = 
Feature 061 	 R = 0.018997, MaxR = 
Feature 067 	 R = 0.037994, MaxR = 
Feature 069 	 R = 0.037994, MaxR = 
Feature 071 	 R = 0.038754, MaxR = 
Feature 060 	 R = 0.007599, MaxR = 
Feature 066 	 R = 0.040274, MaxR = 
Feature 062 	 R = 0.019757, MaxR = 
Feature 000 	 R = 0.012918, MaxR = 
Feature 068 	 R = 0.037234, MaxR = 
Feature 070 	 R = 0.037994, MaxR = 
Feature 072 	 R = 0.042553, MaxR = 
Feature 073 	 R = 0.047112, MaxR = 
Feature 085 	 R = 0.197568, MaxR = 
Feature 033 	 R = 0.012158, MaxR = 
Feature 035 	 R = 0.009119, MaxR = 
Feature 077 	 R = 0.053191, MaxR = 
Feature 081 	 R = 0.238602, MaxR = 
Feature 031 	 R = 0.009878, MaxR = 
Feature 086 	 R = 0.082067, MaxR = 
Feature 074 	 R = 0.088146, MaxR = 
Feature 078 	 R = 0.130699, MaxR = 
Feature 082 	 R = 0.053191, MaxR = 
Feature 075 	 R = 0.047872, MaxR = 
Feature 079 	 R = 0.051672, MaxR = 
Feature 083 	 R = 0.253799, MaxR = 
Feature 076 	 R = 0.101824, MaxR = 
Feature 080 	 R = 0.082067, MaxR = 
Feature 084 	 R = 0.171733, MaxR = 
Features:
	63. Feature{"Ft of Rs 63" is_continuous=True}
	64. Feature{"Ft of Rs 64" is_continuous=True}
	45. Feature{"Ft of Rs 45" is_continuous=True}
	90. Feature{"Ft of Rs 90" is_continuous=True}
	88. Feature{"Ft of Rs 88" is_continuous=True}
	89. Feature{"Ft of Rs 89" is_continuous=True}
	87. Feature{"Ft of Rs 87" is_continuous=True}
=====Ended FindAllFeaturesByPhi at 4/19/2021 6:22:13 PM
